"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","k_percent","bb_percent","on_base_plus_slg","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","groundballs_percent","flyballs_percent"
"McNeil, Jeff","643446","2020","209","57","39","14","0","4",11.5,9.6,"0.837","86.6",37,2.5,6.8,26.5,"95.63896284","91.861592484",17.5,57,44.4,23.5
"Robles, Victor","645302","2020","189","37","28","5","1","3",28,4.8,"0.608","82.2",37.3,1.7,5.1,22.9,"94.70035","91.585986903",27.1,50.3,38.1,24.6
"Devers, Rafael","646240","2020","248","61","33","16","1","11",27,5.2,"0.793","93",33.3,12.1,5.5,43.6,"102.902087073","95.998599329",31.5,55,46.1,23
"Jiménez, Eloy","650391","2020","226","63","35","14","0","14",24.8,5.3,"0.891","92.4",32.9,16.5,7,55.7,"103.874396076","96.948955223",29.2,54.4,52.5,20.3
"Schwarber, Kyle","656941","2020","224","36","19","6","0","11",29.5,13.4,"0.701","92.8",28.8,11.2,8.8,47.2,"103.130327705","96.271187438",28,42.9,51.2,24.8
"Verdugo, Alex","657077","2020","221","62","40","16","0","6",20.4,7.7,"0.845","87",31.2,6.4,5.1,34.4,"98.021422025","93.054003567",18.7,42.8,52.2,19.1
"White, Evan","657108","2020","202","32","17","7","0","8",41.6,8.9,"0.598","91.7",27.3,14.1,8.1,52.5,"102.396977755","95.801080408",38,43.8,44.4,30.3
"Laureano, Ramón","657656","2020","222","39","24","8","1","6",26.1,10.8,"0.704","87.7",34.4,9.4,4.7,34.4,"99.202456563","93.694385859",25,40.2,44.5,24.2
"Moncada, Yoán","660162","2020","231","45","28","8","3","6",31.2,12.1,"0.705","87.8",33.8,6.2,4.6,33.1,"98.732421563","93.432022969",30.5,43.1,41.5,21.5
"Acuña Jr., Ronald","660670","2020","202","40","15","11","0","14",29.7,18.8,"0.987","92.4",34,16,18,57,"105.5944674","97.7021265",29.9,40.5,36,32
"Riley, Austin","663586","2020","206","45","29","7","1","8",23.8,7.8,"0.716","91",30.7,10,5,42.9,"101.303326667","95.046922681",30.1,54.2,42.1,22.9
"Tucker, Kyle","663656","2020","228","56","29","12","6","9",20.2,7.9,"0.837","91.1",34.1,9.1,6.7,44.5,"100.585821585","94.801780307",22.5,50.5,39,28.7
"Grisham, Trent","663757","2020","252","54","33","8","3","10",25.4,12.3,"0.808","88.3",37.9,11.1,3.9,41.8,"100.546281528","94.492469653",24.2,38.3,43.8,22.2
"Happ, Ian","664023","2020","231","51","27","11","1","12",27.3,13,"0.866","91.1",37.5,10.3,5.1,48.5,"101.293754179","95.210163083",35.7,43.5,47.1,19.9
"Lowe, Brandon","664040","2020","224","52","27","9","2","14",25.9,11.2,"0.916","89.8",37.2,17.5,5.1,43.1,"101.582307353","95.064492574",35.7,46.9,32.8,32.1
"Fletcher, David","664058","2020","230","66","50","13","0","3",10.9,8.7,"0.801","84.7",30.8,0.5,1.1,17.8,"93.861628587","90.930814293",8.6,37.2,55.1,13
"Tatis Jr., Fernando","665487","2020","257","62","32","11","2","17",23.7,10.5,"0.937","95.9",32.3,19.5,7.9,62.2,"105.418141463","98.319840671",28,47,48.2,26.2
"Guerrero Jr., Vladimir","665489","2020","243","58","34","13","2","9",15.6,8.2,"0.791","92.5",29.5,8.7,6,50.8,"104.137539231","96.564434725",24.7,47.9,54.6,21.9
"Soto, Juan","665742","2020","196","54","27","14","0","13",14.3,20.9,"1.185","92.1",33.3,18.3,6.3,51.6,"104.179163651","96.71684",21.4,36.2,53.2,21.4
"Gurriel Jr., Lourdes","666971","2020","224","64","39","14","0","11",21.4,6.3,"0.882","90.8",39.5,11.7,3.1,49.4,"101.125280494","95.206539938",26.3,51.2,41.4,21
"Reynolds, Bryan","668804","2020","208","35","20","6","2","7",27.4,10.1,"0.632","87.5",35.2,10.2,3.9,38.3,"99.182354844","93.601750078",27.7,46.8,44.5,28.1
"Edman, Tommy","669242","2020","227","51","38","7","1","5",21.1,7,"0.685","86.5",31,3.8,4.4,33.5,"98.038288205","93.038931538",19,42.7,51.3,14.6
"Solak, Nick","669256","2020","233","56","44","10","0","2",18,7.7,"0.670","89.9",27.5,4.7,7,40.4,"99.55755","94.098003235",19.1,43.8,48.5,26.3
"Hiura, Keston","669374","2020","246","46","29","4","0","13",34.6,6.5,"0.707","87.4",34.3,14.2,4.5,39.6,"99.973661343","94.067657368",42.7,50.1,44,27.6
"Lopez, Nicky","670032","2020","192","34","25","8","0","1",21.4,9.4,"0.552","84.9",30.5,1.5,3.1,26.7,"95.483714921","91.77179232",21,44.6,56.5,11.5
"Robert Jr., Luis","673357","2020","227","47","28","8","0","11",32.2,8.8,"0.738","87.9",36.6,13,9.2,40.5,"101.465314462","94.80674876",41.5,57.6,38.2,26.7
"Cabrera, Miguel","408234","2021","526","121","90","16","0","15",22.4,7.6,"0.702","91.4",32.8,8.3,8.5,49,"101.953387486","95.613068408",25.8,49.4,49,25.9
"Cruz Jr., Nelson","443558","2021","584","136","82","21","1","32",21.6,8.7,"0.831","92.9",31.8,13.6,8.1,52.5,"105.497885455","97.364589369",30.7,51,43.4,25.5
"Peralta, David","444482","2021","538","126","80","30","8","8",17.1,8.6,"0.727","89.3",27.2,5,4.5,41.8,"101.204662576","94.748489747",21.3,46.5,54.9,15.6
"Blackmon, Charlie","453568","2021","582","139","97","25","4","13",15.6,9.3,"0.762","87.6",32.6,7,3.5,38.5,"99.359821596","93.750499272",20.2,47.3,47.4,22.3
"McCutchen, Andrew","457705","2021","574","107","55","24","1","27",23,14.1,"0.778","88.8",33.6,9,8.4,39.5,"99.449259775","93.945349747",25.9,41.7,40.9,30.5
"Turner, Justin","457759","2021","612","148","99","22","0","27",16,10,"0.832","90.9",36.5,7.9,8.6,42.4,"99.559758318","94.25153575",17.7,44.5,35.4,33.1
"Votto, Joey","458015","2021","533","119","59","23","1","36",23.8,14.4,"0.938","92.9",44.3,17.2,9.2,53.2,"102.539441104","96.093851969",29.4,43.9,33.2,36.9
"Andrus, Elvis","462101","2021","541","121","91","25","2","3",15,5.7,"0.614","87.8",34,2.1,5.9,34.8,"98.143821256","93.154317918",19.6,48.9,47,17.5
"Santana, Carlos","467793","2021","659","121","87","15","0","19",15.5,13.1,"0.661","89.9",28,6.8,7.1,41.9,"100.529242479","94.571698094",22.2,43.4,45.3,26.5
